product_name,price,rating,seller_count,category
Portable LED Ring Light,29.99,4.5,150,Electronics
Wireless Earbuds Pro,39.99,4.3,200,Electronics
Kitchen Organizer Rack,19.99,4.6,80,Home & Kitchen
Yoga Resistance Bands,15.99,4.4,120,Sports & Outdoors
Phone Stand Adjustable,12.99,4.2,90,Electronics
Makeup Brush Set,24.99,4.7,110,Beauty
Car Phone Holder,14.99,4.1,75,Automotive
Desk Lamp LED,34.99,4.5,95,Home & Kitchen
Water Bottle Insulated,22.99,4.6,130,Sports & Outdoors
Laptop Stand Aluminum,45.99,4.4,60,Electronics
Bluetooth Speaker Mini,27.99,4.3,140,Electronics
Hair Dryer Professional,49.99,4.5,85,Beauty
Fitness Tracker Watch,35.99,4.2,100,Sports & Outdoors
Coffee Mug Warmer,25.99,4.4,70,Home & Kitchen
Gaming Mouse RGB,32.99,4.6,110,Electronics
Wall Mount Shelf,18.99,4.3,55,Home & Kitchen
Sunscreen Spray SPF50,16.99,4.5,90,Beauty
Resistance Loop Bands,11.99,4.2,65,Sports & Outdoors
USB C Hub Adapter,28.99,4.4,120,Electronics
Air Purifier Small,59.99,4.5,45,Home & Kitchen
